"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","VOMS","VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train Revenue Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train Revenue Hours","Train Revenue Hours Questionable","Unlinked 
Passenger 
Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable?","...42","...43","...44","1"
"Carteret County","Morehead City","NC","4R06-012","4R06-40944","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,539828,NA,0,NA,0,NA,31241,NA,0,NA,0,NA,0,NA,0,NA,0,NA,61584,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Lenoir County","Kinston","NC","4R06-027","4R06-41162","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,532836,NA,0,NA,0,NA,29131,NA,0,NA,0,NA,0,NA,0,NA,0,NA,67090,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"LaGrange County Council on Aging","LaGrange","IN","5R02-044","5R02-50305","Area Agency on Aging","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,513409,NA,0,NA,0,NA,25599,NA,0,NA,0,NA,0,NA,0,NA,0,NA,51675,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Noble Co. Council on Aging","Kendalville","IN","5R02-021","5R02-50422","Private-Non-Profit Corporation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,383959,NA,0,NA,0,NA,25596,NA,0,NA,0,NA,0,NA,0,NA,0,NA,24115,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Arenac County/Bay Service","Bay City","MI","5R03-008","5R03-50225","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,263198,NA,0,NA,0,NA,11320,NA,0,NA,0,NA,0,NA,0,NA,0,NA,36630,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Barry County Transit","Hastings","MI","5R03-009","5R03-50355","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,412848,NA,0,NA,0,NA,26347,NA,0,NA,0,NA,0,NA,0,NA,0,NA,120220,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Athens Transit","Athens","OH","5R05-043","5R05-50278","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,278467,NA,0,NA,0,NA,20027,NA,0,NA,0,NA,0,NA,0,NA,0,NA,316432,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Champaign Transit System","Urbana","OH","5R05-046","5R05-50284","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,200744,NA,0,NA,0,NA,17231,NA,0,NA,0,NA,0,NA,0,NA,0,NA,26518,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Transportation for Logan County","Bellefonatine","OH","5R05-058","5R05-50424","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,312383,NA,0,NA,0,NA,16135,NA,0,NA,0,NA,0,NA,0,NA,0,NA,31653,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Chillicothe Transit System","Chillicothe","OH","5R05-047","5R05-50429","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,1189965,NA,0,NA,0,NA,42923,NA,0,NA,0,NA,0,NA,0,NA,0,NA,200286,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Tangipahoa Voluntary Council on Aging","Amite","LA","6R02-025","6R02-60196","Area Agency on Aging","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,269936,NA,0,NA,0,NA,13990,NA,0,NA,0,NA,0,NA,0,NA,0,NA,30996,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Zia Therapy Center, Inc.","Alamogordo","NM","6R03-018","6R03-60206","Private-Non-Profit Corporation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,490032,NA,0,NA,0,NA,19718,NA,0,NA,0,NA,0,NA,0,NA,0,NA,112459,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"El Paso County","El Paso","TX","6R05-034","6R05-60179","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,1992417,NA,0,NA,0,NA,49774,NA,0,NA,0,NA,0,NA,0,NA,0,NA,352516,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Webb County Community Action Agency","Laredo","TX","6R05-018","6R05-60185","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,242505,NA,0,NA,0,NA,14104,NA,0,NA,0,NA,0,NA,0,NA,0,NA,92728,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Community Services, Inc.","Corsicana","TX","6R05-012","6R05-60260","Other Publicly-Owned or Privately Chartered Corporation","Rural Reporter",5121892,13,NA,0,NA,0,NA,0,NA,251809,NA,0,NA,0,NA,13114,NA,0,NA,0,NA,0,NA,0,NA,0,NA,67859,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"McLennan County","Waco","TX",NA,"6R05-66276","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,41523,NA,0,NA,0,NA,1984,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1894,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Ripley County Transit, Inc.","Doniphan","MO","7R03-010","7R03-70114","Private-Non-Profit Corporation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,371247,NA,0,NA,0,NA,23021,NA,0,NA,0,NA,0,NA,0,NA,0,NA,23931,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Big Sky Transportation District","Big Sky","MT","8R02-019","8R02-80255","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,13,NA,0,NA,0,NA,0,NA,480795,NA,0,NA,0,NA,17306,NA,0,NA,0,NA,0,NA,0,NA,0,NA,170221,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Valley Transit District","Derby","CT","1042","10042","Independent Public Agency or Authority of Transit Service","Full Reporter",923311,12,NA,0,NA,0,NA,292533,NA,263566,NA,28967,NA,20052,NA,19165,NA,887,NA,0,NA,0,NA,0,NA,0,NA,72693,NA,440920,NA,0,NA,"No",NA,NA,NA,NA
"Monroe Bus Corporation","Brooklyn","NY","2137","20137","Private-For-Profit Corporation","Full Reporter",423566,12,NA,0,NA,694372,NA,713681,NA,683333,NA,30348,NA,20398,NA,18635,NA,1763,NA,0,NA,0,NA,0,NA,0,NA,321748,NA,18794336,NA,139.1,NA,"No",NA,NA,NA,NA
"Olympia Trails Bus Company, Inc.","Elizabeth","NJ","2165","20165","Private-For-Profit Corporation","Reduced Reporter",18351295,12,NA,35,NA,0,NA,0,NA,822356,NA,0,NA,0,NA,61530,NA,0,NA,0,NA,0,NA,0,NA,0,NA,506913,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Owensboro Transit System","Owensboro","KY","4020","40020","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",70543,12,NA,0,NA,0,NA,0,NA,516858,NA,0,NA,0,NA,44280,NA,0,NA,0,NA,0,NA,0,NA,0,NA,363169,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Tuscaloosa County Parking and Transit Authority","Tuscaloosa","AL","4045","40045","Independent Public Agency or Authority of Transit Service","Reduced Reporter",139114,12,NA,0,NA,0,NA,0,NA,421107,NA,0,NA,0,NA,28200,NA,0,NA,0,NA,0,NA,0,NA,0,NA,316541,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Cherokee County Board of Commissioners","Canton","GA","4161","40161","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",4515419,12,NA,149,NA,0,NA,0,NA,312962,NA,0,NA,0,NA,21216,NA,0,NA,0,NA,0,NA,0,NA,0,NA,76930,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Cumberland County","Fayetteville","NC","4223","40223","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",310282,12,NA,0,NA,0,NA,0,NA,415146,NA,0,NA,0,NA,15454,NA,0,NA,0,NA,0,NA,0,NA,0,NA,40019,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Midland Dial-A-Ride","Midland","MI","5207","50207","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",59014,12,NA,177,NA,0,NA,0,NA,439346,NA,0,NA,0,NA,27498,NA,0,NA,0,NA,0,NA,0,NA,0,NA,103307,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Grand Portage Reservation Tribal Council","Grand Portage","MN","5T01","55222","Tribe","Reduced Reporter",0,12,NA,0,NA,0,NA,0,NA,194211,NA,0,NA,0,NA,5990,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2464,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"White Earth Band of Chippewa","White Earth","MN","5T10","55270","Tribe","Reduced Reporter",0,12,NA,0,NA,0,NA,0,NA,350430,NA,0,NA,0,NA,10709,NA,0,NA,0,NA,0,NA,0,NA,0,NA,40283,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Rosebud Sioux Tribe","Rosebud","SD","8T09","88182","Tribe","Reduced Reporter",0,12,NA,0,NA,0,NA,0,NA,217182,NA,0,NA,0,NA,10097,NA,0,NA,0,NA,0,NA,0,NA,0,NA,62374,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Porterville","Porterville","CA","9198","90198","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",70272,12,NA,0,NA,0,NA,0,NA,647680,NA,0,NA,0,NA,44594,NA,0,NA,0,NA,0,NA,0,NA,0,NA,660113,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Lincoln","Lincoln","CA","9235","90235","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",1723634,12,NA,0,NA,0,NA,0,NA,86609,NA,0,NA,0,NA,8437,NA,0,NA,0,NA,0,NA,0,NA,0,NA,45130,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Coos County Area Transit Service District","Coos Bay","OR","0R02-006","0R02-00307","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,213205,NA,0,NA,0,NA,16936,NA,0,NA,0,NA,0,NA,0,NA,0,NA,46038,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Senior Citizens of Sweet Home, Inc.","Sweet Home","OR","0R02-059","0R02-00348","Private-Non-Profit Corporation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,298065,NA,0,NA,0,NA,14458,NA,0,NA,0,NA,0,NA,0,NA,0,NA,91840,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Birnie Bus -  Otsego","Richfield Springs","NY","2R02-004","2R02-20984","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,389202,NA,0,NA,0,NA,10318,NA,0,NA,0,NA,0,NA,0,NA,0,NA,65269,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Unified Human Services Transportation Systems, Inc","Roanoke","VA","3R06-021","3R06-30178","Private-Non-Profit Corporation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,368054,NA,0,NA,0,NA,21509,NA,0,NA,0,NA,0,NA,0,NA,0,NA,72224,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Blount County Commission","Oneonta","AL","4R01-003","4R01-40907","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,121813,NA,0,NA,0,NA,8900,NA,0,NA,0,NA,0,NA,0,NA,0,NA,31098,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Liberty County Board of County Commissioners","Bristol","FL","4R02-021","4R02-40923","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,351210,NA,0,NA,0,NA,17286,NA,0,NA,0,NA,0,NA,0,NA,0,NA,31423,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Copiah County Human Resource Agency","Hazlehurst","MS","4R05-019","4R05-40987","Private-Non-Profit Corporation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,277177,NA,0,NA,0,NA,13384,NA,0,NA,0,NA,0,NA,0,NA,0,NA,51350,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Person County","Roxboro","NC","4R06-063","4R06-41010","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,306326,NA,0,NA,0,NA,14062,NA,0,NA,0,NA,0,NA,0,NA,0,NA,47498,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Stanly County","Albemarle","NC","4R06-045","4R06-41181","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,311083,NA,0,NA,0,NA,18114,NA,0,NA,0,NA,0,NA,0,NA,0,NA,48074,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Henry County","Cambridge","IL","5R01-033","5R01-50301","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,12,NA,37,NA,0,NA,0,NA,280786,NA,0,NA,0,NA,14812,NA,0,NA,0,NA,0,NA,0,NA,0,NA,39923,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Lifestream Services, Inc.","YORKTOWN","IN","5R02-037","5R02-50307","Area Agency on Aging","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,286687,NA,0,NA,0,NA,18674,NA,0,NA,0,NA,0,NA,0,NA,0,NA,44659,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Huntington County Council on Aging","Huntington","IN","5R02-010","5R02-50361","Private-Non-Profit Corporation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,279074,NA,0,NA,0,NA,22796,NA,0,NA,0,NA,0,NA,0,NA,0,NA,34787,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Orange County Transit","Paoli","IN","5R02-019","5R02-50389","Private-Non-Profit Corporation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,237933,NA,0,NA,0,NA,16568,NA,0,NA,0,NA,0,NA,0,NA,0,NA,18431,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Eastern Upper Peninsula Transportation Authority","Sault Ste Marie","MI","5R03-027","5R03-50241","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,311389,NA,0,NA,0,NA,33174,NA,0,NA,0,NA,0,NA,0,NA,0,NA,811696,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Monroe County Public Transportation","Woodsfield","OH","5R05-063","5R05-50293","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,268311,NA,0,NA,0,NA,15023,NA,0,NA,0,NA,0,NA,0,NA,0,NA,41712,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Beaver Dam","Beaver Dam","WI","5R06-010","5R06-50466","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,414244,NA,0,NA,0,NA,40985,NA,0,NA,0,NA,0,NA,0,NA,0,NA,134437,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Hatch Area Medical Center Foundation","Hatch","NM","6R03-042","6R03-60223","Private-Non-Profit Corporation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,341480,NA,0,NA,0,NA,14703,NA,0,NA,0,NA,0,NA,0,NA,0,NA,16565,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Town of Taos","Taos","NM","6R03-016","6R03-60240","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,128688,NA,0,NA,0,NA,9764,NA,0,NA,0,NA,0,NA,0,NA,0,NA,46971,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Delta Community Action Foundation, Inc.","Lindsay","OK","6R04-005","6R04-60183","Private-Non-Profit Corporation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,151151,NA,0,NA,0,NA,15845,NA,0,NA,0,NA,0,NA,0,NA,0,NA,34583,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Eastern Nebraska","Omaha","NE","7R04-018","7R04-70160","Area Agency on Aging","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,198549,NA,0,NA,0,NA,10221,NA,0,NA,0,NA,0,NA,0,NA,0,NA,7132,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Stark County Council on Aging / Elder Care","Dickinson","ND","8R03-001","8R03-80114","Private-Non-Profit Corporation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,142476,NA,0,NA,0,NA,14642,NA,0,NA,0,NA,0,NA,0,NA,0,NA,32380,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"West River Transit","Bismarck","ND","8R03-021","8R03-80238","Private-Non-Profit Corporation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,181822,NA,0,NA,0,NA,12954,NA,0,NA,0,NA,0,NA,0,NA,0,NA,22199,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Fremont County Association of Governments","Riverton","WY","8R05-008","8R05-80121","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,292113,NA,0,NA,0,NA,54192,NA,0,NA,0,NA,0,NA,0,NA,0,NA,45079,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Cottonwood","Cottonwood","AZ","9R01-009","9R01-91010","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,183025,"Q",0,NA,0,NA,21996,"Q",0,NA,0,NA,0,NA,0,NA,0,NA,149492,"Q",0,NA,0,NA,"Yes",NA,NA,NA,NA
"County of Sacramento Municipal Services Agency Department of Transportation","Sacramento","CA","9R02-109","9R02-90216","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,444646,NA,0,NA,0,NA,20732,NA,0,NA,0,NA,0,NA,0,NA,0,NA,105487,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Amador Regional Transit System","Jackson","CA","9R02-018","9R02-91000","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,12,NA,0,NA,0,NA,0,NA,246508,NA,0,NA,0,NA,12898,NA,0,NA,0,NA,0,NA,0,NA,0,NA,74880,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Corvallis","Corvallis","OR","47","47","City, County or Local Government Unit or Department of Transportation","Full Reporter",62433,11,NA,0,NA,446568,NA,444668,NA,433752,NA,10916,NA,29908,NA,29344,NA,564,NA,0,NA,0,NA,0,NA,0,NA,1201016,NA,3625888,NA,85,NA,"No",NA,NA,NA,NA
"Clarkstown Mini-Trans","Nanuet","NY","2085","20085","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",18351295,11,NA,0,NA,0,NA,0,NA,324653,NA,0,NA,0,NA,18943,NA,0,NA,0,NA,0,NA,0,NA,0,NA,120653,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Centro of Cayuga, Inc.","Syracuse","NY","2116","20116","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",412317,11,NA,0,NA,478600,NA,537930,NA,526356,NA,11574,NA,31624,NA,30887,NA,737,NA,0,NA,0,NA,0,NA,0,NA,409648,NA,4847436,NA,491,NA,"No",NA,NA,NA,NA
"Centro of Oswego, Inc.","Syracuse","NY","2172","20172","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",412317,11,NA,0,NA,499636,NA,549313,NA,516542,NA,32771,NA,31834,NA,29800,NA,2034,NA,0,NA,0,NA,0,NA,0,NA,614923,NA,6565259,NA,401,NA,"No",NA,NA,NA,NA
"City of Hazleton -- Hazleton Public Transit","Hazleton","PA","3093","30093","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",56827,11,NA,0,NA,0,NA,0,NA,449588,NA,0,NA,0,NA,31244,NA,0,NA,0,NA,0,NA,0,NA,0,NA,221088,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"National Capital Region Transportation Planning Board","Washington","DC","3106","30106","MPO, COG or Other Planning Agency","Reduced Reporter",4586770,11,NA,0,NA,0,NA,0,NA,159491,NA,0,NA,0,NA,3535,NA,0,NA,0,NA,0,NA,0,NA,0,NA,29480,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"New River Transit Authority","Beckley","WV",NA,"30199","Independent Public Agency or Authority of Transit Service","Reduced Reporter",64022,11,NA,0,NA,0,NA,0,NA,81528,NA,0,NA,0,NA,6738,NA,0,NA,0,NA,0,NA,0,NA,0,NA,13156,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Greenville Area Transit","Greenville","NC","4095","40095","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",117798,11,NA,0,NA,0,NA,0,NA,352778,NA,0,NA,0,NA,27232,NA,0,NA,0,NA,0,NA,0,NA,0,NA,525654,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Jacksonville","Jacksonville","NC","4166","40166","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",105419,11,NA,0,NA,0,NA,0,NA,332780,NA,0,NA,0,NA,19590,NA,0,NA,0,NA,0,NA,0,NA,0,NA,114609,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Municipality of Mayaguez","Mayaguez","PR","4194","40194","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",109572,11,NA,0,NA,0,NA,0,NA,152125,NA,0,NA,0,NA,32820,"Q",0,NA,0,NA,0,NA,0,NA,0,NA,354285,NA,0,NA,0,NA,"Yes",NA,NA,NA,NA
"Municipality of Lares","Lares","PR","4197","40197","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",306196,11,NA,0,NA,0,NA,0,NA,38033,NA,0,NA,0,NA,5439,NA,0,NA,0,NA,0,NA,0,NA,0,NA,21725,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Moorhead, DBA: Metropolitan Area Transit","Moorhead","MN","5026","50026","City, County or Local Government Unit or Department of Transportation","Full Reporter",176676,11,NA,0,NA,398371,NA,494249,NA,470602,NA,23647,NA,36096,NA,34900,NA,1196,NA,0,NA,0,NA,0,NA,0,NA,469431,NA,1774889,NA,70.8,NA,"No",NA,NA,NA,NA
"Lawrence County Port Authority","Ironton","OH","5186","50186","Independent Public Agency or Authority of Transit Service","Reduced Reporter",202637,11,NA,0,NA,0,NA,0,NA,138470,NA,0,NA,0,NA,11429,NA,0,NA,0,NA,0,NA,0,NA,0,NA,9403,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Hancock Area Rural Transit","Greenfield","IN","5201","50201","Private-Non-Profit Corporation","Reduced Reporter",1487483,11,NA,0,NA,0,NA,0,NA,183556,NA,0,NA,0,NA,15001,NA,0,NA,0,NA,0,NA,0,NA,0,NA,19565,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Fort Smith Transit","Fort Smith","AR","6086","60086","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",122947,11,NA,0,NA,0,NA,0,NA,439287,NA,0,NA,0,NA,29399,NA,0,NA,0,NA,0,NA,0,NA,0,NA,267152,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of McAllen - McAllen Express Transit","McAllen","TX","6099","60099","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",728825,11,NA,0,NA,0,NA,0,NA,534173,NA,0,NA,0,NA,38109,NA,0,NA,0,NA,0,NA,0,NA,0,NA,724298,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Jonesboro Economical Transportation System","Jonesboro","AR","6104","60104","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",65419,11,NA,0,NA,0,NA,0,NA,334617,NA,0,NA,0,NA,21625,NA,0,NA,0,NA,0,NA,0,NA,0,NA,106621,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Independence","Independence","MO","7046","70046","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",1519417,11,NA,0,NA,0,NA,0,NA,372415,NA,0,NA,0,NA,25906,NA,0,NA,0,NA,0,NA,0,NA,0,NA,301328,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Standing Rock Public Transportation","Fort Yates","ND","8T12","88140","Tribe","Reduced Reporter",0,11,NA,0,NA,0,NA,0,NA,204932,NA,0,NA,0,NA,6146,NA,0,NA,0,NA,0,NA,0,NA,0,NA,13991,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"TransIV Buses - College of Southern Idaho","Twin Falls","ID","0R01-001","0R01-00357","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,11,NA,0,NA,0,NA,0,NA,186371,NA,0,NA,0,NA,14551,NA,0,NA,0,NA,0,NA,0,NA,0,NA,40844,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Hopesource","Ellensburg","WA","0R03-046","0R03-00312","Private-Non-Profit Corporation","Rural Reporter",0,11,NA,0,NA,0,NA,0,NA,230414,NA,0,NA,0,NA,19911,NA,0,NA,0,NA,0,NA,0,NA,0,NA,89346,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Okanogan County Transportation & Nutrition","Omak","WA","0R03-045","0R03-00332","Private-Non-Profit Corporation","Rural Reporter",0,11,NA,0,NA,0,NA,0,NA,304002,NA,0,NA,0,NA,17348,NA,0,NA,0,NA,0,NA,0,NA,0,NA,58752,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Skamania County Senior Services","Stevenson","WA","0R03-023","0R03-00336","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,11,NA,0,NA,0,NA,0,NA,205841,NA,0,NA,0,NA,10836,NA,0,NA,0,NA,0,NA,0,NA,0,NA,18050,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Lewis County","Lowville","NY","2R02-072","2R02-20925","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,11,NA,0,NA,0,NA,0,NA,276401,NA,0,NA,0,NA,13950,NA,0,NA,0,NA,0,NA,0,NA,0,NA,57810,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Schoharie County Public Transportation","Cobleskill","NY","2R02-039","2R02-20926","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,11,NA,0,NA,0,NA,0,NA,385520,NA,0,NA,0,NA,18121,NA,0,NA,0,NA,0,NA,0,NA,0,NA,104677,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Schuyler County","Watkins Glen","NY","2R02-073","2R02-20945","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,11,NA,0,NA,0,NA,0,NA,122136,NA,0,NA,0,NA,7067,NA,0,NA,0,NA,0,NA,0,NA,0,NA,19577,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Hornell Area Transit","Hornell","NY","2R02-026","2R02-20953","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,11,NA,0,NA,0,NA,0,NA,355041,NA,0,NA,0,NA,30981,NA,0,NA,0,NA,0,NA,0,NA,0,NA,96402,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"ARC (Allegany)","Wellsville","NY","2R02-083","2R02-20985","Private-Non-Profit Corporation","Rural Reporter",0,11,NA,0,NA,0,NA,0,NA,40028,NA,0,NA,0,NA,1700,NA,0,NA,0,NA,0,NA,0,NA,0,NA,7835,NA,0,NA,0,NA,"No",NA,NA,NA,NA
