"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","modes","mode_names","facility_type","pre1940","_1940s","_1950s","_1960s","_1970s","_1980s","_1990s","_2000s","_2010s","_2020s","total_facilities"
"Golden Empire Transit District","Bakersfield","CA","90004","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","04681","Bakersfield, CA","570235","91","MB","Bus","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"Golden Empire Transit District","Bakersfield","CA","90004","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","04681","Bakersfield, CA","570235","91","MB","Bus","Bus Transfer Center","0","0","0","0","0","1","1","0","1","0","3"
"Santa Cruz Metropolitan Transit District","Santa Cruz","CA","90006","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79336","Santa Cruz, CA","169038","86","CB","Commuter Bus","Bus Transfer Center","0","0","0","0","0","0","1","0","0","0","1"
"Santa Cruz Metropolitan Transit District","Santa Cruz","CA","90006","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79336","Santa Cruz, CA","169038","86","CB, DR, MB","Commuter Bus, Demand Response, Bus","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"Santa Cruz Metropolitan Transit District","Santa Cruz","CA","90006","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79336","Santa Cruz, CA","169038","86","CB, DR, MB","Commuter Bus, Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","0","1","0","0","1"
"Santa Cruz Metropolitan Transit District","Santa Cruz","CA","90006","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79336","Santa Cruz, CA","169038","86","CB, DR, MB","Commuter Bus, Demand Response, Bus","Vehicle Fueling Facility","0","0","0","0","0","0","0","1","0","0","1"
"Santa Cruz Metropolitan Transit District","Santa Cruz","CA","90006","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79336","Santa Cruz, CA","169038","86","CB, MB","Commuter Bus, Bus","Administrative Office / Sales Office","0","0","0","0","0","0","0","0","1","0","1"
"Santa Cruz Metropolitan Transit District","Santa Cruz","CA","90006","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79336","Santa Cruz, CA","169038","86","CB, MB","Commuter Bus, Bus","Bus Transfer Center","0","0","0","0","0","1","1","0","0","0","2"
"Santa Cruz Metropolitan Transit District","Santa Cruz","CA","90006","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79336","Santa Cruz, CA","169038","86","CB, MB","Commuter Bus, Bus","Surface Parking Lot","0","0","0","0","0","1","0","0","0","0","1"
"Santa Cruz Metropolitan Transit District","Santa Cruz","CA","90006","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79336","Santa Cruz, CA","169038","86","MB","Bus","Bus Transfer Center","0","0","0","0","1","1","0","0","0","0","2"
"City of Santa Monica, dba: Big Blue Bus","Santa Monica","CA","90008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","143","DR, MB","Demand Response, Bus","Administrative Office / Sales Office","0","0","0","0","0","1","0","0","0","0","1"
"City of Santa Monica, dba: Big Blue Bus","Santa Monica","CA","90008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","143","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","0","1","0","0","1"
"City of Santa Monica, dba: Big Blue Bus","Santa Monica","CA","90008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","143","MB","Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","1","0","0","0","0","0","1"
"City of Santa Monica, dba: Big Blue Bus","Santa Monica","CA","90008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","143","MB","Bus","Vehicle Fueling Facility","0","0","0","0","0","0","0","1","0","0","1"
"San Mateo County Transit District","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","312","DR, MB","Demand Response, Bus","Administrative Office / Sales Office","0","0","0","0","1","0","0","0","0","0","1"
"San Mateo County Transit District","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","312","DR, MB","Demand Response, Bus","General Purpose Maintenance Facility/Depot","0","1","0","0","0","4","1","0","2","0","8"
"San Mateo County Transit District","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","312","DR, MB","Demand Response, Bus","Heavy Maintenance & Overhaul (Backshop)","0","0","0","0","0","1","0","0","0","0","1"
"San Mateo County Transit District","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","312","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","5","0","0","0","0","5"
"San Mateo County Transit District","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","312","DR, MB","Demand Response, Bus","Parking Structure","0","0","0","0","1","0","1","1","0","0","3"
"San Mateo County Transit District","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","312","DR, MB","Demand Response, Bus","Surface Parking Lot","0","0","0","0","0","0","1","0","0","0","1"
"San Mateo County Transit District","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","312","DR, MB","Demand Response, Bus","Vehicle Fueling Facility","0","0","0","0","0","2","0","0","0","0","2"
"San Mateo County Transit District","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","312","DR, MB","Demand Response, Bus","Vehicle Washing Facility","0","0","0","0","0","2","0","0","0","0","2"
"San Mateo County Transit District","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","312","MB","Bus","At-Grade Fixed Guideway Station","0","0","0","0","0","1","0","5","0","0","6"
"San Mateo County Transit District","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","312","MB","Bus","Elevated Fixed Guideway Station","0","0","0","0","1","0","2","2","1","1","7"
"San Mateo County Transit District","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","312","MB","Bus","Underground Fixed Guideway Station","0","0","0","0","0","0","0","2","0","0","2"
"City of Torrance, dba: Torrance Transit System","Torrance","CA","90010","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","74","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","HR","Heavy Rail","Administrative Office / Sales Office","0","0","0","0","0","0","0","0","1","0","1"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","HR","Heavy Rail","At-Grade Fixed Guideway Station","0","0","0","0","0","0","0","0","1","0","1"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","HR","Heavy Rail","Elevated Fixed Guideway Station","0","0","0","0","0","0","0","0","1","0","1"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","LR","Light Rail","Administrative Office / Sales Office","0","0","0","0","0","4","0","0","0","0","4"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","LR","Light Rail","At-Grade Fixed Guideway Station","0","0","0","0","0","10","11","11","0","0","32"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","LR","Light Rail","Elevated Fixed Guideway Station","0","0","0","0","0","0","0","2","0","0","2"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","LR","Light Rail","General Purpose Maintenance Facility/Depot","0","0","0","0","0","3","0","1","0","0","4"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","LR","Light Rail","Maintenance Facility (Service and Inspection)","0","0","0","0","0","1","1","0","0","0","2"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","LR","Light Rail","Vehicle Blow-Down Facility","0","0","0","0","0","0","0","1","0","0","1"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","LR","Light Rail","Vehicle Washing Facility","0","0","0","0","0","1","0","0","0","0","1"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","LR, MB","Light Rail, Bus","At-Grade Fixed Guideway Station","0","0","0","0","0","4","8","10","0","0","22"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","LR, MB","Light Rail, Bus","Elevated Fixed Guideway Station","0","0","0","0","0","0","4","1","0","0","5"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","MB","Bus","Administrative Office / Sales Office","0","0","0","0","2","3","5","1","0","0","11"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","2","0","0","0","2"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","MB","Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","7","1","1","5","0","0","14"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","MB","Bus","Heavy Maintenance & Overhaul (Backshop)","0","0","0","0","1","1","0","0","0","0","2"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","MB","Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","3","2","0","1","1","0","7"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","MB","Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","1","0","0","1","0","0","2"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","MB","Bus","Surface Parking Lot","0","0","0","0","0","2","14","6","1","0","23"
"Stillaguamish Tribe of Indians","Arlington","WA","00017","Tribe","Reduced Reporter","2022","00053","Washington Non-UZA","1895776","5",,,,,,,,,,,,,,
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","MB","Bus","Vehicle Fueling Facility","0","0","0","0","3","0","0","0","0","0","3"
"Santa Clara Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79039","San Jose, CA","1837446","496","MB","Bus","Vehicle Washing Facility","0","0","0","0","0","2","0","2","0","0","4"
"Alameda-Contra Costa Transit District","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","546","CB, MB","Commuter Bus, Bus","Administrative Office / Sales Office","0","0","0","0","0","4","0","0","0","0","4"
"Alameda-Contra Costa Transit District","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","546","CB, MB","Commuter Bus, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"Alameda-Contra Costa Transit District","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","546","CB, MB","Commuter Bus, Bus","Heavy Maintenance & Overhaul (Backshop)","0","0","0","0","0","1","0","0","0","0","1"
"Alameda-Contra Costa Transit District","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","546","CB, MB","Commuter Bus, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","3","0","0","0","0","3"
"Alameda-Contra Costa Transit District","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","546","CB, MB","Commuter Bus, Bus","Surface Parking Lot","0","0","0","0","0","0","0","2","0","0","2"
"Alameda-Contra Costa Transit District","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","546","MB","Bus","At-Grade Fixed Guideway Station","0","0","0","0","1","0","0","0","0","0","1"
"Alameda-Contra Costa Transit District","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","546","MB","Bus","Elevated Fixed Guideway Station","0","0","0","0","9","0","1","0","0","0","10"
"Alameda-Contra Costa Transit District","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","546","MB","Bus","Surface Parking Lot","0","0","0","0","0","0","0","1","0","0","1"
"Alameda-Contra Costa Transit District","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","546","MB","Bus","Underground Fixed Guideway Station","0","0","0","0","6","0","0","0","0","0","6"
"Alameda-Contra Costa Transit District","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","546","RB","Bus Rapid Transit","Simple At-Grade Platform Station","0","0","0","0","0","0","0","0","0","46","46"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","CC","Cable Car","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","1","1","0","0","0","0","2"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","CC","Cable Car","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","1","0","1","0","0","0","2"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","LR","Light Rail","Combined Administrative and Maintenance Facility (describe in Notes)","0","1","0","0","0","0","0","0","0","0","1"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","LR","Light Rail","General Purpose Maintenance Facility/Depot","0","0","0","0","1","1","0","1","0","0","3"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","LR","Light Rail","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","1","3","0","0","0","4"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","LR","Light Rail","Underground Fixed Guideway Station","0","0","0","0","0","9","0","0","0","0","9"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","LR, TB","Light Rail, Trolleybus","Administrative Office / Sales Office","0","0","0","0","1","0","0","0","0","0","1"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","MB","Bus","Administrative Office / Sales Office","0","0","0","0","1","0","0","0","0","0","1"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","MB","Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","1","0","0","1","0","0","0","0","0","2"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","MB","Bus","General Purpose Maintenance Facility/Depot","0","0","1","0","1","0","0","0","1","0","3"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","MB","Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","1","0","1","0","0","0","2"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","MB","Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","2","3","2","10","0","17"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","SR","Streetcar Rail","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","SR","Streetcar Rail","General Purpose Maintenance Facility/Depot","0","0","0","1","0","0","0","0","0","0","1"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","TB","Trolleybus","General Purpose Maintenance Facility/Depot","2","0","0","0","0","0","0","0","0","0","2"
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","752","TB","Trolleybus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","2","5","0","6","0","13"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","DR, FB, MB","Demand Response, Ferryboat, Bus","Administrative Office / Sales Office","1","0","0","0","2","1","0","0","0","0","4"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","DR, FB, MB","Demand Response, Ferryboat, Bus","Bus Transfer Center","0","0","0","0","0","0","4","0","0","0","4"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","DR, FB, MB","Demand Response, Ferryboat, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","2","0","0","2"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","DR, FB, MB","Demand Response, Ferryboat, Bus","Ferryboat Terminal","0","0","0","0","0","1","0","0","0","0","1"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","DR, FB, MB","Demand Response, Ferryboat, Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","1","1","0","0","2"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","DR, FB, MB","Demand Response, Ferryboat, Bus","Heavy Maintenance & Overhaul (Backshop)","0","0","0","0","1","1","0","0","1","0","3"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","DR, FB, MB","Demand Response, Ferryboat, Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","0","0","0","1","1"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","DR, FB, MB","Demand Response, Ferryboat, Bus","Other, Passenger or Parking (describe in Notes)","0","0","0","0","0","1","0","0","0","1","2"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","DR, FB, MB","Demand Response, Ferryboat, Bus","Surface Parking Lot","0","0","0","0","1","1","0","23","1","0","26"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","DR, FB, MB","Demand Response, Ferryboat, Bus","Vehicle Fueling Facility","0","0","0","0","0","0","1","0","0","0","1"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","DR, FB, MB","Demand Response, Ferryboat, Bus","Vehicle Washing Facility","0","0","0","0","0","0","0","0","1","0","1"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","FB","Ferryboat","Ferryboat Terminal","0","0","1","0","0","0","0","0","0","0","1"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","FB, MB","Ferryboat, Bus","Administrative Office / Sales Office","0","0","0","0","2","0","0","0","1","0","3"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","FB, MB","Ferryboat, Bus","Bus Transfer Center","0","0","0","0","0","1","0","0","0","0","1"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","FB, MB","Ferryboat, Bus","Ferryboat Terminal","0","0","0","0","4","0","0","1","1","0","6"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","FB, MB","Ferryboat, Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","0","0","1","2","3"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","FB, MB","Ferryboat, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","1","1","0","0","1","0","3"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","FB, MB","Ferryboat, Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","FB, MB","Ferryboat, Bus","Other, Passenger or Parking (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","FB, MB","Ferryboat, Bus","Surface Parking Lot","0","0","0","0","0","0","1","1","1","2","5"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","FB, MB","Ferryboat, Bus","Vehicle Fueling Facility","0","0","0","0","1","0","0","2","0","0","3"
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78904","San Francisco--Oakland, CA","3515933","59","FB, MB","Ferryboat, Bus","Vehicle Washing Facility","0","0","0","0","1","0","1","0","0","0","2"
"City of Santa Rosa","Santa Rosa","CA","90017","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","79498","Santa Rosa, CA","297329","31","DR, MB","Demand Response, Bus","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"City of Santa Rosa","Santa Rosa","CA","90017","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","79498","Santa Rosa, CA","297329","31","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","1","1","0","2"
"City of Santa Rosa","Santa Rosa","CA","90017","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","79498","Santa Rosa, CA","297329","31","MB","Bus","Vehicle Washing Facility","0","0","0","0","0","0","0","1","0","0","1"
"Sacramento Regional Transit District, dba: Sacramento RT","Sacramento","CA","90019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","77068","Sacramento, CA","1946618","367","LR","Light Rail","At-Grade Fixed Guideway Station","0","0","0","0","0","10","2","13","2","0","27"
"Sacramento Regional Transit District, dba: Sacramento RT","Sacramento","CA","90019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","77068","Sacramento, CA","1946618","367","LR","Light Rail","Heavy Maintenance & Overhaul (Backshop)","0","0","0","0","0","0","0","1","0","0","1"
"Sacramento Regional Transit District, dba: Sacramento RT","Sacramento","CA","90019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","77068","Sacramento, CA","1946618","367","LR","Light Rail","Maintenance Facility (Service and Inspection)","0","0","0","0","0","1","0","0","0","0","1"
