"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","Agency VOMS","Mode","Type of Service","Mode VOMS","Mode VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Average Speed (mi/hr)","Average Speed (mi/hr) Questionable","Average Passenger Trip Length (mi)","Average Passenger Trip Length (mi) Questionable","Passengers per Hour","Passengers per Hour Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle  
Revenue  
Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train  
Revenue 
Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train  
Revenue  
Hours","Train Revenue Hours Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","0","...65"
"Cumberland County, dba: Cumberland Area Transit System","Bridgeton","NJ","2193","20193","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",95259,20,"DR","DO",20,NA,0,NA,11.7705,NA,0,NA,1.8393,NA,0,NA,0,NA,303372,NA,0,NA,0,NA,25774,NA,0,NA,0,NA,0,NA,0,NA,0,NA,47407,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludington Mass Transportation Authority","Ludington","MI","5R03-047","5R03-50459","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,20,"DR","DO",20,NA,0,NA,10.567,NA,0,NA,3.888,NA,0,NA,0,NA,294258,NA,0,NA,0,NA,27847,NA,0,NA,0,NA,0,NA,0,NA,0,NA,108269,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tri-Valley Opportunity Council, Inc.","Crookston","MN","5R04-010","5R04-50353","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,20,"MB","DO",9,NA,0,NA,21.9957,NA,0,NA,2.2883,NA,0,NA,0,NA,76743,NA,0,NA,0,NA,3489,NA,0,NA,0,NA,0,NA,0,NA,0,NA,7984,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terrebonne Council on Aging","Houma","LA","6R02-026","6R02-60232","Area Agency on Aging","Rural Reporter",0,20,"DR","DO",20,NA,0,NA,12.09,NA,0,NA,1.1312,NA,0,NA,0,NA,241340,NA,0,NA,0,NA,19962,NA,0,NA,0,NA,0,NA,0,NA,0,NA,22582,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central West Virginia Transit Authority","Clarksburg","WV","3R05-014","3R05-30119","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,20,"MB","DO",15,NA,0,NA,11.703,NA,0,NA,3.1052,NA,0,NA,0,NA,346795,NA,0,NA,0,NA,29633,NA,0,NA,0,NA,0,NA,0,NA,0,NA,92016,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tri-Valley Opportunity Council, Inc.","Crookston","MN","5R04-010","5R04-50353","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,20,"DR","DO",11,NA,0,NA,11.655,NA,0,NA,4.0134,NA,0,NA,0,NA,329966,NA,0,NA,0,NA,28311,NA,0,NA,0,NA,0,NA,0,NA,0,NA,113623,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Erie Transportation Commission, dba: Lake Erie Transit","Monroe","MI",NA,"50522","Independent Public Agency or Authority of Transit Service","Full Reporter",51240,20,"MB","DO",8,NA,0,NA,11.1848,NA,3.0754,NA,4.8561,NA,288762,NA,277990,NA,269050,NA,8940,NA,24755,NA,24055,NA,700,NA,0,NA,0,NA,0,NA,0,NA,116814,NA,359244,NA,61.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Amarillo, dba: Amarillo City Transit","Amarillo","TX","6001","60001","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",196651,20,"MB","DO",12,NA,0,NA,13.1882,NA,0,NA,5.1367,NA,0,NA,0,NA,453016,NA,0,NA,0,NA,34350,NA,0,NA,0,NA,0,NA,0,NA,0,NA,176444,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Columbia, dba: Go COMO","Columbia","MO","7016","70016","City, County or Local Government Unit or Department of Transportation","Full Reporter",124748,20,"MB","DO",14,NA,0,NA,13.4707,NA,2.7597,NA,22.0751,NA,305985,NA,314286,NA,305287,NA,8999,NA,25166,NA,22663,NA,2503,NA,0,NA,0,NA,0,NA,0,NA,500287,NA,1380651,NA,98.2,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central West Virginia Transit Authority","Clarksburg","WV","3R05-014","3R05-30119","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,20,"DR","DO",5,NA,0,NA,11.9114,NA,0,NA,0.8993,NA,0,NA,0,NA,45418,NA,0,NA,0,NA,3813,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3429,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry County Transportation Network","Napoleon","OH",NA,"5R05-55480","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,20,"DR","DO",20,NA,0,NA,35.2905,NA,0,NA,2.2086,NA,0,NA,0,NA,687211,NA,0,NA,0,NA,19473,NA,0,NA,0,NA,0,NA,0,NA,0,NA,43009,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tri-County Community Council, Inc","Bonifay","FL","4R02-018","4R02-41186","Private-Non-Profit Corporation","Rural Reporter",0,20,"DR","DO",20,NA,0,NA,28.9212,NA,0,NA,2.4625,NA,0,NA,0,NA,710940,NA,0,NA,0,NA,24582,NA,0,NA,0,NA,0,NA,0,NA,0,NA,60532,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lancaster Public Transit System","Lancaster","OH","5R05-057","5R05-50406","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,20,"MB","DO",5,NA,0,NA,12.0491,NA,0,NA,3.7666,NA,0,NA,0,NA,92441,NA,0,NA,0,NA,7672,NA,0,NA,0,NA,0,NA,0,NA,0,NA,28897,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Santa Maria, dba: Santa Maria Area Transit","Santa Maria","CA","9087","90087","City, County or Local Government Unit or Department of Transportation","Full Reporter",130447,20,"MB","PT",15,NA,0,NA,16.7693,NA,3.4874,NA,6.3091,NA,603396,NA,650191,NA,601899,NA,48292,NA,38819,NA,35893,NA,2926,NA,0,NA,0,NA,0,NA,0,NA,226453,NA,789727,NA,221.9,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Erie Transportation Commission, dba: Lake Erie Transit","Monroe","MI",NA,"50522","Independent Public Agency or Authority of Transit Service","Full Reporter",51240,20,"DR","DO",12,NA,0,NA,12.3024,NA,5.2543,NA,2.6021,NA,0,NA,279137,NA,254782,NA,24355,NA,22531,NA,20710,NA,1821,NA,0,NA,0,NA,0,NA,0,NA,53890,NA,283152,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Amarillo, dba: Amarillo City Transit","Amarillo","TX","6001","60001","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",196651,20,"DR","DO",8,NA,0,NA,15.2716,NA,0,NA,2.1231,NA,0,NA,0,NA,287763,NA,0,NA,0,NA,18843,NA,0,NA,0,NA,0,NA,0,NA,0,NA,40006,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Columbia, dba: Go COMO","Columbia","MO","7016","70016","City, County or Local Government Unit or Department of Transportation","Full Reporter",124748,20,"DR","DO",6,NA,0,NA,11.8551,NA,3.6348,NA,2.3865,NA,0,NA,187633,NA,171934,NA,15699,NA,17110,NA,14503,NA,2607,NA,0,NA,0,NA,0,NA,0,NA,34611,NA,125805,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three Rivers Community Action, Inc.","Plainview","MN","5R04-036","5R04-50510","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,20,"MB","DO",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lancaster Public Transit System","Lancaster","OH","5R05-057","5R05-50406","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,20,"DR","DO",15,NA,0,NA,15.4332,NA,0,NA,2.1664,NA,0,NA,0,NA,334315,NA,0,NA,0,NA,21662,NA,0,NA,0,NA,0,NA,0,NA,0,NA,46929,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Santa Maria, dba: Santa Maria Area Transit","Santa Maria","CA","9087","90087","City, County or Local Government Unit or Department of Transportation","Full Reporter",130447,20,"DR","PT",5,NA,0,NA,16.1411,NA,8.2959,NA,2.9724,NA,0,NA,90437,NA,81787,NA,8650,NA,5758,NA,5067,NA,691,NA,0,NA,0,NA,0,NA,0,NA,15061,NA,124944,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"County of Citrus, dba: Citrus County Transit","Inverness","FL","4R02-035","41157","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",80962,20,"MB","DO",4,NA,0,NA,18.9068,NA,0,NA,0.8629,NA,0,NA,0,NA,28001,NA,0,NA,0,NA,1481,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1278,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Randolph County Senior Adult Association Inc.","Asheboro","NC","4R06-039","4R06-40921","Area Agency on Aging","Rural Reporter",0,20,"DR","TX",3,NA,0,NA,22.4329,NA,0,NA,1.1261,NA,0,NA,0,NA,63687,NA,0,NA,0,NA,2839,NA,0,NA,0,NA,0,NA,0,NA,0,NA,3197,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three Rivers Community Action, Inc.","Plainview","MN","5R04-036","5R04-50510","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,20,"DR","DO",20,NA,0,NA,7.8832,NA,0,NA,2.147,NA,0,NA,0,NA,437289,NA,0,NA,0,NA,55471,NA,0,NA,0,NA,0,NA,0,NA,0,NA,119097,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fond du Lac, Wisconsin , dba: Fond du Lac Area Transit","Fond Du Lac","WI","5171","50171","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",54901,20,"DR","TX",7,NA,0,NA,19.9647,NA,0,NA,5.0136,NA,0,NA,0,NA,32203,NA,0,NA,0,NA,1613,NA,0,NA,0,NA,0,NA,0,NA,0,NA,8087,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"County of Citrus, dba: Citrus County Transit","Inverness","FL","4R02-035","41157","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",80962,20,"DR","DO",16,NA,0,NA,15.6767,NA,0,NA,1.2771,NA,0,NA,0,NA,319366,NA,0,NA,0,NA,20372,NA,0,NA,0,NA,0,NA,0,NA,0,NA,26018,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Randolph County Senior Adult Association Inc.","Asheboro","NC","4R06-039","4R06-40921","Area Agency on Aging","Rural Reporter",0,20,"DR","DO",17,NA,0,NA,14.9391,NA,0,NA,1.1129,NA,0,NA,0,NA,329735,NA,0,NA,0,NA,22072,NA,0,NA,0,NA,0,NA,0,NA,0,NA,24565,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fond du Lac, Wisconsin , dba: Fond du Lac Area Transit","Fond Du Lac","WI","5171","50171","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",54901,20,"MB","PT",1,NA,0,NA,11.6628,NA,0,NA,12.2299,NA,0,NA,0,NA,6088,NA,0,NA,0,NA,522,NA,0,NA,0,NA,0,NA,0,NA,0,NA,6384,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fond du Lac, Wisconsin , dba: Fond du Lac Area Transit","Fond Du Lac","WI","5171","50171","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",54901,20,"DR","PT",5,NA,0,NA,8.4098,NA,0,NA,1.0919,NA,0,NA,0,NA,43756,NA,0,NA,0,NA,5203,NA,0,NA,0,NA,0,NA,0,NA,0,NA,5681,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fond du Lac, Wisconsin , dba: Fond du Lac Area Transit","Fond Du Lac","WI","5171","50171","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",54901,20,"MB","DO",7,NA,0,NA,12.1767,NA,0,NA,6.4238,NA,0,NA,0,NA,150224,NA,0,NA,0,NA,12337,NA,0,NA,0,NA,0,NA,0,NA,0,NA,79251,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Fredericksburg, dba: Fredericksburg Regional Transit","Fredericksburg","VA","3079","30079","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",141238,20,"MB","DO",20,NA,0,NA,14.971,NA,0,NA,3.4815,NA,0,NA,0,NA,610785,NA,0,NA,0,NA,40798,NA,0,NA,0,NA,0,NA,0,NA,0,NA,142038,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manchester Transit Authority","Manchester","NH","1002","10002","Independent Public Agency or Authority of Transit Service","Reduced Reporter",158377,20,"MB","DO",14,NA,0,NA,11.4635,NA,0,NA,4.4055,NA,0,NA,0,NA,611313,NA,0,NA,0,NA,53327,NA,0,NA,0,NA,0,NA,0,NA,0,NA,234934,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","22","22","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",69809,20,"MB","DO",9,NA,0,NA,15.0788,NA,0,NA,5.6119,NA,0,NA,0,NA,284854,NA,0,NA,0,NA,18891,NA,0,NA,0,NA,0,NA,0,NA,0,NA,106015,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manchester Transit Authority","Manchester","NH","1002","10002","Independent Public Agency or Authority of Transit Service","Reduced Reporter",158377,20,"DR","DO",6,NA,0,NA,9.1918,NA,0,NA,0.8825,NA,0,NA,0,NA,126884,NA,0,NA,0,NA,13804,NA,0,NA,0,NA,0,NA,0,NA,0,NA,12182,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pennsylvania Department of Transportation","Harrisburg","PA","3057","30057","State Government Unit or Department of Transportation","Full Reporter",5441567,20,"CR","PT",20,NA,2,NA,56.7277,NA,88.1349,NA,5.2781,NA,1683120,NA,1619575,NA,1619575,NA,0,NA,28550,NA,28550,NA,0,NA,323915,NA,323915,NA,5710,NA,5710,NA,150689,NA,13280959,NA,144.4,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","22","22","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",69809,20,"DR","DO",11,NA,0,NA,18.0595,NA,0,NA,3.0488,NA,0,NA,0,NA,325956,NA,0,NA,0,NA,18049,NA,0,NA,0,NA,0,NA,0,NA,0,NA,55028,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The County Commissioners of Caroline County, Maryland","Denton","MD","3R03-027","3R03-30186","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,20,"MB","DO",8,NA,0,NA,21.1438,NA,0,NA,1.4264,NA,0,NA,0,NA,281931,NA,0,NA,0,NA,13334,NA,0,NA,0,NA,0,NA,0,NA,0,NA,19020,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima Association of Governments","Tucson","AZ","9222","90222","MPO, COG or Other Planning Agency","Full Reporter",843168,20,"VP","PT",20,NA,0,NA,48.279,NA,42.0157,NA,5.5431,NA,0,NA,273597,NA,273597,NA,0,NA,5667,NA,5667,NA,0,NA,0,NA,0,NA,0,NA,0,NA,31413,NA,1319838,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Dubuque","Dubuque","IA","7011","70011","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",67818,20,"MB","DO",11,NA,0,NA,14.0817,NA,0,NA,10.1538,NA,0,NA,0,NA,386177,NA,0,NA,0,NA,27424,NA,0,NA,0,NA,0,NA,0,NA,0,NA,278457,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The County Commissioners of Caroline County, Maryland","Denton","MD","3R03-027","3R03-30186","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,20,"DR","DO",12,NA,0,NA,10.1504,NA,0,NA,1.2035,NA,0,NA,0,NA,122789,NA,0,NA,0,NA,12097,NA,0,NA,0,NA,0,NA,0,NA,0,NA,14559,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Dubuque","Dubuque","IA","7011","70011","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",67818,20,"DR","DO",9,NA,0,NA,10.5089,NA,0,NA,2.8936,NA,0,NA,0,NA,149773,NA,0,NA,0,NA,14252,NA,0,NA,0,NA,0,NA,0,NA,0,NA,41240,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human Resource Development Council District IX, Inc.","Bozeman","MT","8R02-021","8R02-80235","Private-Non-Profit Corporation","Rural Reporter",0,20,"MB","PT",10,NA,0,NA,13.9621,NA,0,NA,5.3845,NA,0,NA,0,NA,265322,NA,0,NA,0,NA,19003,NA,0,NA,0,NA,0,NA,0,NA,0,NA,102321,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human Resource Development Council District IX, Inc.","Bozeman","MT","8R02-021","8R02-80235","Private-Non-Profit Corporation","Rural Reporter",0,20,"DR","DO",10,NA,0,NA,14.4069,NA,0,NA,1.3146,NA,0,NA,0,NA,159629,NA,0,NA,0,NA,11080,NA,0,NA,0,NA,0,NA,0,NA,0,NA,14566,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lakeland Bus Lines, Inc.","Dover","NJ","2163","20163","Private-For-Profit Corporation","Full Reporter",18351295,20,"CB","DO",20,NA,0,NA,19.7738,NA,33.9386,NA,9.9675,NA,542860,NA,754940,NA,536582,NA,218358,NA,43560,NA,27136,NA,16424,NA,0,NA,0,NA,0,NA,0,NA,270478,NA,9179645,NA,311,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Easy Lift Transportation","Goleta","CA","9243","90243","Private-Non-Profit Corporation","Reduced Reporter",195861,20,"DR","DO",20,NA,0,NA,17.9792,NA,0,NA,2.4223,NA,0,NA,0,NA,357336,NA,0,NA,0,NA,19875,NA,0,NA,0,NA,0,NA,0,NA,0,NA,48144,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Sheboygan, dba: Shoreline Metro","Sheboygan","WI","5088","50088","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",71313,20,"MB","DO",15,NA,0,NA,14.1078,NA,0,NA,11.724,NA,0,NA,0,NA,506006,NA,0,NA,0,NA,35867,NA,0,NA,0,NA,0,NA,0,NA,0,NA,420503,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Jefferson, dba: JEFFTRAN","Jefferson City","MO","7043","70043","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",58533,20,"MB","DO",10,NA,0,NA,17.6017,NA,0,NA,9.0166,NA,0,NA,0,NA,289795,NA,0,NA,0,NA,16464,NA,0,NA,0,NA,0,NA,0,NA,0,NA,148449,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ottawa County Transportation Agency","Oak Harbor","OH","5R05-065","5R05-50298","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,20,"DR","DO",20,NA,0,NA,23.9171,NA,0,NA,1.9547,NA,0,NA,0,NA,488053,NA,0,NA,0,NA,20406,NA,0,NA,0,NA,0,NA,0,NA,0,NA,39887,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Claremont, dba: Claremont Dial-a-Ride","Claremont","CA","9296","90296","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",12150996,20,"DR","TX",15,NA,0,NA,12.0985,NA,0,NA,6.8342,NA,0,NA,0,NA,12038,NA,0,NA,0,NA,995,NA,0,NA,0,NA,0,NA,0,NA,0,NA,6800,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Sheboygan, dba: Shoreline Metro","Sheboygan","WI","5088","50088","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",71313,20,"DR","DO",5,NA,0,NA,12.5202,NA,0,NA,2.1429,NA,0,NA,0,NA,124839,NA,0,NA,0,NA,9971,NA,0,NA,0,NA,0,NA,0,NA,0,NA,21367,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Jefferson, dba: JEFFTRAN","Jefferson City","MO","7043","70043","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",58533,20,"DR","DO",10,NA,0,NA,11.8459,NA,0,NA,2.6748,NA,0,NA,0,NA,184820,NA,0,NA,0,NA,15602,NA,0,NA,0,NA,0,NA,0,NA,0,NA,41733,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South East Texas Regional Planning Commission","Beaumont","TX","6R05-004","6R05-60155","MPO, COG or Other Planning Agency","Rural Reporter",0,19,"DR","DO",19,NA,0,NA,18.2058,NA,0,NA,1.3514,NA,0,NA,0,NA,441617,NA,0,NA,0,NA,24257,NA,0,NA,0,NA,0,NA,0,NA,0,NA,32782,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Camarillo, dba: Camarillo Area Transit","Camarillo","CA","9163","90163","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",71772,19,"DR","PT",17,NA,0,NA,21.7478,NA,0,NA,3.0227,NA,0,NA,0,NA,290529,NA,0,NA,0,NA,13359,NA,0,NA,0,NA,0,NA,0,NA,0,NA,40380,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heart of Iowa Regional Transit Agency, dba: HIRTA","Urbandale","IA","7R01-011","70066","Independent Public Agency or Authority of Transit Service","Full Reporter",60438,19,"DR","DO",19,NA,0,NA,8.9963,NA,3.1384,NA,1.9111,NA,0,NA,288125,NA,264105,NA,24020,NA,33478,NA,29357,NA,4121,NA,0,NA,0,NA,0,NA,0,NA,56105,NA,176078,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Madera","Madera","CA","9199","90199","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",78413,19,"MB","PT",13,NA,0,NA,13.1687,NA,0,NA,3.4465,NA,0,NA,0,NA,212951,NA,0,NA,0,NA,16171,NA,0,NA,0,NA,0,NA,0,NA,0,NA,55734,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrett County Community Action Committee, Inc","Oakland","MD","3R03-008","3R03-30117","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,19,"DR","DO",19,NA,0,NA,16.77,NA,0,NA,3.1454,NA,0,NA,0,NA,282776,NA,0,NA,0,NA,16862,NA,0,NA,0,NA,0,NA,0,NA,0,NA,53038,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Madera","Madera","CA","9199","90199","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",78413,19,"DR","PT",6,NA,0,NA,10.254,NA,0,NA,1.4503,NA,0,NA,0,NA,30721,NA,0,NA,0,NA,2996,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4345,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pullman Transit","Pullman","WA","0R03-020","0R03-00294","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,19,"MB","DO",15,NA,0,NA,13.1868,NA,0,NA,17.2418,NA,0,NA,0,NA,399506,NA,0,NA,0,NA,30296,NA,0,NA,0,NA,0,NA,0,NA,0,NA,522359,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mountain Transit Authority","Summersville","WV","3R05-017","3R05-30140","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,19,"MB","DO",6,NA,0,NA,11.4529,NA,0,NA,2.573,NA,0,NA,0,NA,106695,NA,0,NA,0,NA,9316,NA,0,NA,0,NA,0,NA,0,NA,0,NA,23970,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
